DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Denmark,2023,112.7,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Denmark,2024,115.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Denmark,2025,117.5,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2016,106.48,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2017,114.28,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2018,122.33,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2019,130.68,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2020,125.22,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2021,129.88,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2022,158.56,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2023,159.04,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2024,157.55,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Estonia,2025,165.27,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Greece,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,Actual rentals for housing,Greece,2016,97.39,,
