DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Sweden,2025,29541,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2015,12809,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2016,12864,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2017,13218,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2018,13817,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2019,14814,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2020,15533,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2021,16369,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2022,17592,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2023,18836,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2024,20871,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovenia,2025,21958,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2015,7253,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2016,7361,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2017,7553,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2018,8031,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2019,8686,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2020,9240,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2021,8932,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2022,9297,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2023,9409,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Slovakia,2024,10291,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Türkiye,2015,3680,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Türkiye,2016,4081,,
